iter	RMSE
0	392.5241952
1	385.7245508
2	378.5374985
3	372.469629
4	366.2755078
5	360.3688734
6	354.0628389
7	347.9743963
8	342.1889198
9	336.05177
10	330.9037397
11	324.9768674
12	319.8667082
13	315.2266816
14	310.2260525
15	305.2150229
16	300.7554518
17	295.9652358
18	291.4992239
19	287.1460131
20	283.0135881
21	279.1375827
22	275.5964629
23	271.8226086
24	268.0311344
25	264.1959545
26	261.073394
27	257.7184506
28	254.4409151
29	251.1795507
30	248.4542005
31	245.3757262
32	242.4770523
33	239.6919113
34	237.040052
35	234.2117537
36	231.4467644
37	228.6834722
38	225.8497074
39	223.4797231
40	221.2766575
41	218.8834659
42	216.7867405
43	214.2000166
44	212.2295767
45	210.4202605
46	208.2936247
47	206.5553127
48	204.7855336
49	202.8679322
50	201.0589691
51	199.4063887
52	197.5120636
53	195.9951886
54	194.3376704
55	192.6760964
56	191.102624
57	189.5881487
58	188.2180693
59	186.9199045
60	185.4976796
61	184.1395273
62	182.9677327
63	181.7267318
64	180.4219378
65	179.3992174
66	178.0779111
67	176.7041837
68	175.3626382
69	174.2405237
70	173.0489795
71	171.9521746
72	170.7684059
73	170.4385034
74	169.6865399
75	168.9566122
76	167.8368281
77	166.6918685
78	165.9208293
79	165.3741646
80	164.6220476
81	163.7883351
82	162.9038739
83	162.2841486
84	161.5190255
85	160.8680257
86	160.5601011
87	159.8578812
88	159.4649342
89	158.7803625
90	157.9378543
91	157.210208
92	156.6952243
93	156.0458756
94	155.3139317
95	154.7674734
96	154.0163347
97	153.3678395
98	152.6884133
99	152.424983
100	151.6731553
101	151.1358248
102	150.3940551
103	149.8881874
104	149.3469756
105	149.150631
106	148.8428064
107	148.3026177
108	147.8016953
109	147.3281003
110	146.7378435
111	146.0838215
112	145.5100505
113	144.9543183
114	144.5970559
115	144.18397
116	143.6526964
117	143.2596764
118	142.8204957
119	142.3715379
120	141.8772822
121	141.4099423
122	140.9227056
123	140.5276294
124	140.0815769
125	139.7217859
126	139.0513095
127	138.5815463
128	138.1705243
129	137.7531817
130	137.2825994
131	137.0793593
132	136.7392511
133	136.2964485
134	135.8456736
135	135.3785988
136	134.9979399
137	134.6845738
138	134.5534544
139	134.2131266
140	133.9482049
141	133.5102557
142	133.0642293
143	132.6323831
144	132.3810384
145	131.9671975
146	131.7104166
147	131.388307
148	131.2068941
149	130.9089997
150	130.5962609
151	130.3971434
152	129.9935218
153	129.5235241
154	129.2731417
155	129.1277988
156	128.9607592
157	128.6744259
158	128.3095514
159	127.9174583
160	127.6835411
161	127.3644685
162	127.0411566
163	126.864194
164	126.6033713
165	126.3131692
166	125.9596213
167	125.6295861
168	125.1946845
169	124.9668856
170	124.5996906
171	124.4191917
172	124.005356
173	123.8041897
174	123.461181
175	123.2473572
176	122.8503392
177	122.6351919
178	122.4623431
179	122.1984973
180	121.8047985
181	121.6664256
182	121.4833106
183	121.3065291
184	121.0874905
185	120.8415373
186	120.6491215
187	120.5339905
188	120.1413937
189	119.7979738
190	119.6293186
191	119.5097275
192	119.27407
193	119.0278896
194	118.808845
195	118.6937089
196	118.3056979
197	118.1459476
198	117.7832185
199	117.6150011
200	117.297228
201	116.8883187
202	116.7550809
203	116.5251983
204	116.3106669
205	116.0930764
206	115.9971303
207	115.9050589
208	115.769432
209	115.6093741
210	115.4534059
211	115.0501294
212	114.8712313
213	114.7089103
214	114.5665601
215	114.4135941
216	114.3506121
217	114.2512728
218	114.1053364
219	113.7530966
220	113.6616672
221	113.4897258
222	113.3792432
223	113.2422096
224	113.0252119
225	112.7965807
226	112.5073287
227	112.3988444
228	112.2718004
229	112.1442724
230	112.0332498
231	111.9270939
232	111.8350458
233	111.5685386
234	111.4475069
235	111.3675805
236	111.2878221
237	111.225164
238	111.1084525
239	110.953394
240	110.8614169
241	110.452891
242	110.1958709
243	110.1020144
244	109.8208583
245	109.3649051
246	109.3081216
247	109.2081642
248	109.1248038
249	108.9930176
250	108.8277904
251	108.6122968
252	108.2964933
253	108.1531217
254	107.9322159
255	107.8032841
256	107.3358342
257	107.2206625
258	107.1002937
259	106.7457257
260	106.1889263
261	105.7671179
262	105.6543987
263	105.2959028
264	104.9655529
265	104.7895342
266	104.4473932
267	104.3508261
268	104.2531324
269	104.1538842
270	104.027893
271	103.7396962
272	103.5173786
273	103.3440739
274	103.1002606
275	102.9862713
276	102.5316419
277	102.1492251
278	101.7761122
279	101.5444453
280	101.1768433
281	100.8689229
282	100.4396206
283	100.3677829
284	100.0557374
285	99.77865187
286	99.68142781
287	99.33335718
288	99.25776818
289	98.97579942
290	98.61135724
291	98.42712966
292	98.04389773
293	97.98282144
294	97.90874222
295	97.56839123
296	97.24260534
297	97.18522179
298	97.12287868
299	96.8170394
300	96.59041492
301	96.41165293
302	96.16220546
303	96.1065411
304	95.8152546
305	95.4409017
306	95.13397687
307	94.8413252
308	94.78530873
309	94.54858651
310	94.33303997
311	94.08593852
312	93.74729526
313	93.52834336
314	93.44927555
315	93.2453747
316	93.18636044
317	92.85988894
318	92.59071799
319	92.38792889
320	91.98925921
321	91.72856402
322	91.41837985
323	91.36981222
324	91.10180258
325	90.91142897
326	90.65294341
327	90.44733183
328	90.39649412
329	90.18680326
330	89.99342659
331	89.7698662
332	89.43374122
333	89.17065463
334	88.98143417
335	88.6885536
336	88.57549851
337	88.52672952
338	88.47192495
339	88.24751839
340	88.02770332
341	87.91202647
342	87.85464408
343	87.60585105
344	87.44184748
345	87.35633323
346	87.31108826
347	87.01892005
348	86.81692432
349	86.76411322
350	86.52193125
351	86.27498865
352	86.21763626
353	86.17630851
354	85.94534063
355	85.70113482
356	85.64911063
357	85.6059658
358	85.41124514
359	85.36611566
360	85.11167084
361	84.94265521
362	84.90167469
363	84.66700646
364	84.62685588
365	84.45157251
366	84.3021285
367	84.26015846
368	84.22241487
369	84.18345063
370	83.95160763
371	83.72528943
372	83.69119946
373	83.54941936
374	83.49127235
375	83.28680261
376	83.08826409
377	82.79051926
378	82.56872628
379	82.30953539
380	82.04644517
381	82.00644371
382	81.95424267
383	81.91561239
384	81.7844787
385	81.44732416
386	81.41093669
387	81.3730273
388	81.19333889
389	81.15768253
390	81.0180162
391	80.98165051
392	80.93910164
393	80.71830206
394	80.45097187
395	80.31630304
396	80.15422704
397	79.94179766
398	79.79249591
399	79.75670042
400	79.57513106
401	79.50982905
402	79.47952789
403	79.27290617
404	79.06837917
405	79.01749857
406	78.81227386
407	78.63421177
408	78.4713323
409	78.43731996
410	78.23844928
411	77.98101886
412	77.94711966
413	77.65322965
414	77.62114502
415	77.51125255
416	77.46931424
417	77.26438377
418	77.20678733
419	77.11086898
420	76.94812077
421	76.91698858
422	76.73006182
423	76.58534763
424	76.35850206
425	76.30690451
426	76.1511181
427	75.92385782
428	75.88328571
429	75.8538576
430	75.74667891
431	75.54910639
432	75.43614559
433	75.35028008
434	75.32210753
435	75.09508023
436	74.84829811
437	74.6222844
438	74.56662149
439	74.52113593
440	74.35698546
441	74.21080932
442	73.99327583
443	73.89622848
444	73.85801663
445	73.64941822
446	73.48894753
447	73.28465264
448	73.08586023
449	72.92477487
450	72.84693459
451	72.72539419
452	72.48200028
453	72.45062479
454	72.42417304
455	72.39752277
456	72.37391491
457	72.25627698
458	72.20402759
459	72.0962997
460	72.02085951
461	71.99189738
462	71.81693551
463	71.79096577
464	71.53656967
465	71.27223663
466	71.24432697
467	71.21251298
468	71.18974601
469	71.06173729
470	70.85576262
471	70.67035453
472	70.48610711
473	70.43652672
474	70.25175155
475	70.20495956
476	70.0659544
477	69.85170113
478	69.75279262
479	69.72941907
480	69.50635398
481	69.48382139
482	69.42750888
483	69.26046185
484	69.23721728
485	69.14911431
486	69.03132065
487	68.82185079
488	68.64472538
489	68.59808946
490	68.44158619
491	68.37294907
492	68.30301854
493	68.13018736
494	68.08283621
495	67.9956275
496	67.70381163
497	67.49279745
498	67.47217601
499	67.41830422
500	67.4006581
501	67.33848287
502	67.31612756
503	67.19611095
504	67.06460852
505	66.82819579
506	66.62816335
507	66.4800908
508	66.4445042
509	66.35679765
510	66.27450533
511	66.12037028
512	66.06810581
513	65.8935538
514	65.73319826
515	65.62022937
516	65.47133833
517	65.28518	62.518	65.14519	62.519	65.12368845
520	65.02962206
521	64.95146507
522	64.90356421
523	64.81085426
524	64.56611485
525	64.54596852
526	64.48623737
527	64.25855133
528	64.11910348
529	64.09852669
530	63.9531	60.8531	63.7532	60.7532	63.63397834
533	63.36796924
534	63.19271425
535	63.04159344
536	63.02501547
537	62.85714997
538	62.71417686
539	62.69556307
540	62.44957672
541	62.34276724
542	62.22997454
543	62.0928658
544	61.91552511
545	61.78142902
546	61.57550315
547	61.4216375
548	61.31726455
549	61.29396428
550	61.16713259
551	60.95068979
552	60.93358328
553	60.90255658
554	60.87892246
555	60.82480487
556	60.80964829
557	60.73312919
558	60.71685852
559	60.63971303
560	60.52186835
561	60.4501602
562	60.3563	56.87153081
564	56.77394833
565	56.6565	59.7566	56.6566	59.6567	56.567	59.53568	56.568	59.4569	56.3569	59.4570	56.02593063
571	55.92094717
572	55.9050688
573	55.76510304
574	55.6367096
575	55.56977254
576	55.46288912
577	55.23290971
578	55.08254462
579	55.06184282
580	54.92580	58.54491548
581	58.38248443
582	58.23064305
583	58.2109039
584	58.08873886
585	57.94697369
586	57.92587835
587	57.89752494
588	57.81509023
589	57.80069813
590	57.67933426
591	57.6193784
592	57.46637216
593	57.32069104
594	57.23899072
595	57.04661235
596	56.92713863
597	56.7790516
598	56.76453326
599	56.72314578
600	56.70142113
601	56.65269515
602	56.63717708
603	56.41451682
604	56.3127493
605	56606	52.659606	56.15093852
607	56.05836709
608	55609	52.369609	55610	52.353610	55.80408796
611	55.74371212
612	55.55351412
613	55.52267595
614	55.39144412
615	55.25000512
616	55.22382453
617	55.20929948
618	55.08445888
619	55.06906699
620	54.9214477
621	54.78656511
622	54.73608525
623	54.72128321
624	54.65579216
625	54.53570321
626	54.4735736
627	54.4596833
628	54.40969517
629	54.25211014
630	54.18680141
631	54.07179483
632	53.95480086
633	53.87799092
634	53.77508845
635	53.71726796
636	53.49692232
637	53.48517012
638	53.35789539
639	53.27785844
640	53.20641999
641	53.19029873
642	53.17351126
643	53.15980834
644	53.07195942
645	53.05520372
646	53.01178133
647	52.89460736
648	52.79813521
649	52.74843698
650	52.67366367
651	52.56174742
652	52.46083824
653	52.3423016
654	52.32636967
655	52.16379157
656	52.04292197
657	51.89556181
658	51.84183852
659	51.81635271
660	51.73188867
661	51.6123944
662	51.57685525
663	51.55745012
664	51.41846759
665	51.2989122
666	51.18760154
667	51.17559595
668	50.98745306
669	50.95385739
670	50.76949081
671	50.7236927
672	50.66499302
673	50.61277794
674	50.56672479
675	50.50214651
676	50.39797534
677	50.34523016
678	50.27930473
679	50.22875647
680	50.11746334
681	49.96792534
682	49.91911113
683	49.82953191
684	49.72335044
685	49.69423384
686	49.60871085
687	49.46619105
688	49.36697851
689	49.25623264
690	49.17919912
691	49.07938329
692	49.06405487
693	48.98284629
694	48.96793986
695	48.8968445
696	48.8791062
697	48.79831596
698	48.78615614
699	48.69543999
700	48.65619299
701	48.6415269
702	48.60425311
703	48.47120038
704	48.43288108
705	48.39594945
706	48.38148411
707	48.23958512
708	48.21788641
709	48.08604165
710	47.97001903
711	47.94905756
712	47.82029919
713	47.73124883
714	47.60659245
715	47.57620498
716	47.44447856
717	47.43106068
718	47.29659943
719	47.28371681
720	47.18082954
721	47.06058299
722	46.96509957
723	46.93019462
724	46.82879112
725	46.70420763
726	46.59708686
727	46.57727667
728	46.4850297
729	46.4501043
730	46.42976907
731	46.32351911
732	46.21457868
733	46.16805451
734	46.07688661
735	46.04319101
736	45.96510241
737	45.92228406
738	45.91044096
739	45.86120872
740	45.79705855
741	45.75432408
742	45.7031041
743	45.63619061
744	45.53257181
745	45.39914071
746	45.32677182
747	45.21540777
748	45.20420084
749	45.18443174
750	45.15501063
751	45.03935669
752	44.9746528
753	44.8658446
754	44.76537874
755	44.75525116
756	44.7151817
757	44.65336268
758	44.61579389
759	44.55381533
760	44.4937067
761	44.44542058
762	44.42487351
763	44.41229575
764	44.40350728
765	44.32961812
766	44.29055666
767	44.19713324
768	44.04103577
769	43.99592229
770	43.90278738
771	43.88862191
772	43.81333863
773	43.71019191
774	43.69871416
775	43.59018068
776	43.56348985
777	43.54631495
778	43.49058757
779	43.47909276
780	43.44317291
781	43.40997138
782	43.34366069
783	784	39.54386784	785	39.5145785	4786	39.5009786	4787	39.4314787	4788	39.3593223
789	39.33888595
790	39.27420006
791	39.26127619
792	39.24557241
793	39.165889
794	39.15777712
795	39.04398593
796	38.98050135
797	38.96470264
798	38.94758514
799	38.94030985
