iter	Passed	Remaining
0	141	141293
1	146	73123
2	149	49825
3	154	38436
4	159	31681
5	164	27178
6	168	23905
7	173	21470
8	176	19468
9	181	17948
10	184	16595
11	189	15604
12	193	14675
13	198	13966
14	202	13276
15	205	12617
16	208	12073
17	213	11630
18	217	11237
19	223	10933
20	226	10574
21	230	10254
22	234	9953
23	237	9665
24	241	9434
25	245	9199
26	249	9002
27	253	8800
28	259	8675
29	262	8493
30	266	8320
31	270	8167
32	273	8019
33	277	7883
34	280	7738
35	284	7610
36	286	7466
37	290	7357
38	294	7263
39	299	7188
40	303	7106
41	309	7048
42	312	6957
43	316	6870
44	320	6809
45	326	6760
46	330	6698
47	336	6665
48	341	6620
49	345	6566
50	349	6498
51	354	6454
52	358	6402
53	363	6361
54	366	6303
55	370	6247
56	375	6218
57	379	6164
58	384	6125
59	387	6074
60	392	6034
61	396	6000
62	401	5965
63	404	5913
64	408	5868
65	411	5827
66	415	5791
67	421	5774
68	425	5743
69	429	5704
70	433	5673
71	436	5626
72	440	5599
73	443	5549
74	447	5521
75	451	5485
76	455	5457
77	458	5420
78	462	5396
79	467	5374
80	471	5350
81	475	5323
82	479	5295
83	483	5273
84	487	5251
85	491	5228
86	496	5208
87	499	5178
88	503	5154
89	508	5136
90	513	5125
91	519	5122
92	521	5090
93	526	5071
94	530	5053
95	534	5033
96	538	5015
97	543	5000
98	547	4981
99	551	4960
100	556	4951
101	560	4933
102	564	4915
103	568	4893
104	573	4887
105	576	4866
106	580	4845
107	584	4826
108	587	4805
109	592	4790
110	596	4779
111	602	4779
112	609	4783
113	614	4774
114	618	4759
115	623	4749
116	627	4738
117	632	4729
118	637	4719
119	641	4702
120	645	4690
121	650	4680
122	654	4663
123	659	4658
124	663	4645
125	667	4631
126	673	4629
127	677	4613
128	682	4606
129	685	4590
130	691	4584
131	695	4572
132	700	4564
133	704	4552
134	707	4534
135	711	4520
136	715	4506
137	719	4493
138	723	4482
139	728	4475
140	732	4464
141	737	4454
142	743	4454
143	749	4457
144	754	4448
145	758	4437
146	763	4429
147	767	4416
148	771	4407
149	775	4397
150	779	4381
151	782	4367
152	787	4357
153	791	4349
154	795	4336
155	798	4319
156	802	4307
157	806	4299
158	811	4289
159	815	4281
160	819	4270
161	823	4261
162	827	4251
163	831	4240
164	835	4228
165	839	4218
166	843	4209
167	848	4202
168	852	4191
169	855	4178
170	860	4172
171	865	4168
172	870	4160
173	874	4152
174	878	4139
175	882	4131
176	885	4118
177	888	4105
178	893	4097
179	896	4086
180	901	4078
181	904	4064
182	908	4057
183	914	4054
184	918	4047
185	922	4038
186	926	4027
187	930	4018
188	934	4009
189	938	3999
190	942	3991
191	945	3979
192	948	3967
193	953	3960
194	957	3951
195	961	3943
196	965	3935
197	970	3929
198	973	3919
199	978	3915
200	982	3906
201	985	3894
202	990	3887
203	994	3879
204	998	3872
205	1003	3869
206	1008	3863
207	1012	3854
208	1016	3847
209	1020	3839
210	1023	3828
211	1028	3822
212	1032	3813
213	1036	3806
214	1040	3797
215	1043	3788
216	1048	3782
217	1051	3773
218	1055	3763
219	1058	3753
220	1062	3744
221	1065	3734
222	1069	3725
223	1074	3722
224	1078	3715
225	1083	3709
226	1086	3700
227	1089	3690
228	1094	3683
229	1097	3673
230	1100	3665
231	1105	3660
232	1109	3652
233	1113	3644
234	1117	3637
235	1121	3631
236	1124	3619
237	1125	3603
238	1131	3601
239	1135	3596
240	1140	3590
241	1144	3583
242	1148	3578
243	1153	3573
244	1157	3565
245	1160	3558
246	1161	3542
247	1165	3532
248	1169	3527
249	1173	3520
250	1176	3511
251	1180	3503
252	1183	3494
253	1186	3485
254	1191	3479
255	1197	3478
256	1202	3476
257	1207	3471
258	1211	3466
259	1214	3456
260	1218	3449
261	1222	3442
262	1226	3436
263	1229	3428
264	1234	3422
265	1237	3414
266	1241	3408
267	1245	3401
268	1248	3392
269	1252	3385
270	1256	3380
271	1261	3376
272	1264	3367
273	1267	3358
274	1271	3350
275	1274	3342
276	1278	3338
277	1282	3331
278	1286	3323
279	1290	3318
280	1295	3314
281	1298	3307
282	1302	3300
283	1307	3295
284	1310	3287
285	1313	3280
286	1318	3274
287	1322	3270
288	1326	3262
289	1330	3258
290	1334	3252
291	1338	3244
292	1343	3241
293	1348	3237
294	1352	3231
295	1356	3226
296	1360	3220
297	1364	3214
298	1368	3207
299	1372	3202
300	1376	3197
301	1380	3191
302	1385	3187
303	1389	3181
304	1393	3174
305	1397	3170
306	1401	3162
307	1405	3158
308	1409	3151
309	1413	3145
310	1417	3140
311	1421	3134
312	1425	3128
313	1429	3122
314	1434	3120
315	1438	3113
316	1441	3106
317	1445	3100
318	1450	3095
319	1453	3089
320	1458	3085
321	1462	3080
322	1466	3074
323	1471	3070
324	1475	3064
325	1480	3060
326	1484	3055
327	1488	3049
328	1493	3045
329	1496	3038
330	1500	3033
331	1505	3030
332	1510	3025
333	1514	3020
334	1519	3015
335	1522	3008
336	1527	3004
337	1531	2999
338	1534	2992
339	1540	2990
340	1545	2986
341	1549	2980
342	1552	2974
343	1555	2966
344	1559	2960
345	1562	2953
346	1565	2946
347	1570	2942
348	1574	2937
349	1579	2933
350	1583	2927
351	1587	2921
352	1591	2917
353	1595	2912
354	1599	2905
355	1604	2902
356	1610	2900
357	1614	2894
358	1618	2890
359	1623	2885
360	1626	2879
361	1631	2875
362	1635	2870
363	1639	2864
364	1643	2859
365	1648	2854
366	1651	2849
367	1656	2844
368	1659	2838
369	1663	2833
370	1667	2827
371	1671	2822
372	1675	2816
373	1679	2811
374	1684	2807
375	1688	2801
376	1692	2796
377	1696	2790
378	1699	2785
379	1703	2779
380	1707	2774
381	1711	2769
382	1716	2764
383	1720	2759
384	1724	2754
385	1728	2749
386	1732	2744
387	1736	2739
388	1740	2734
389	1746	2731
390	1752	2729
391	1756	2724
392	1760	2719
393	1765	2716
394	1769	2710
395	1773	2705
396	1778	2701
397	1782	2695
398	1785	2689
399	1789	2684
400	1794	2680
401	1798	2675
402	1804	2672
403	1808	2667
404	1812	2662
405	1816	2657
406	1820	2652
407	1826	2649
408	1830	2644
409	1833	2638
410	1837	2633
411	1841	2628
412	1846	2623
413	1850	2619
414	1854	2614
415	1858	2608
416	1861	2601
417	1865	2597
418	1871	2594
419	1874	2588
420	1877	2582
421	1883	2579
422	1887	2575
423	1891	2570
424	1896	2565
425	1900	2561
426	1905	2556
427	1909	2551
428	1912	2545
429	1916	2540
430	1921	2536
431	1925	2532
432	1931	2528
433	1934	2523
434	1939	2518
435	1942	2513
436	1946	2508
437	1950	2503
438	1954	2498
439	1958	2493
440	1963	2488
441	1967	2484
442	1971	2479
443	1977	2475
444	1980	2470
445	1983	2464
446	1988	2460
447	1992	2455
448	1996	2449
449	2001	2445
450	2005	2440
451	2010	2437
452	2013	2431
453	2018	2428
454	2023	2423
455	2026	2417
456	2031	2413
457	2034	2407
458	2038	2402
459	2042	2397
460	2046	2392
461	2051	2388
462	2055	2383
463	2059	2379
464	2063	2373
465	2066	2368
466	2070	2363
467	2073	2357
468	2077	2352
469	2082	2348
470	2086	2343
471	2091	2339
472	2095	2334
473	2098	2329
474	2102	2323
475	2105	2317
476	2108	2312
477	2112	2307
478	2117	2303
479	2121	2298
480	2125	2293
481	2128	2287
482	2132	2282
483	2136	2277
484	2140	2272
485	2144	2268
486	2148	2263
487	2152	2258
488	2157	2254
489	2161	2249
490	2166	2246
491	2170	2240
492	2177	2239
493	2183	2236
494	2188	2232
495	2193	2228
496	2197	2223
497	2201	2218
498	2205	2214
499	2210	2210
500	2214	2205
501	2218	2200
502	2222	2195
503	2226	2191
504	2231	2187
505	2235	2182
506	2239	2177
507	2243	2172
508	2246	2167
509	2251	2163
510	2254	2157
511	2258	2152
512	2261	2147
513	2265	2141
514	2268	2136
515	2272	2131
516	2276	2126
517	2280	21215518	2284	21175519	2289	2113
520	2294	2109
521	2298	2104
522	2302	2099
523	2306	2094
524	2311	2091
525	2315	2086
526	2319	2081
527	2324	2077
528	2327	2072
529	2331	2067
530	2334	20615531	2337	20565532	2341	2051
533	2345	2046
534	2351	2044
535	2356	2039
536	2361	2035
537	2364	2030
538	2366	2024
539	2370	2019
540	2373	2013
541	2375	2007
542	2380	2003
543	2383	1998
544	2387	1993
545	2390	1988
546	2394	1983
547	2398	1978
548	2402	1973
549	2406	1969
550	2409	1963
551	2413	1958
552	2417	1954
553	2422	1950
554	2426	1945
555	2430	1941
556	2434	1935
557	2436	1930
558	2440	1925
559	2443	1920
560	2446	1914
561	2449	1909
562	2453	1904563	2491	1926
564	2494	1920
5565	2464	18905566	2468	18855567	2473	18815568	2478	18775569	2481	1872570	2522	1895
571	2525	1889
572	2529	1884
573	2533	1880
574	2538	1876
575	2541	1870
576	2547	1867
577	2550	1861
578	2553	1856
579	2556	1851
5580	2536	1829
581	2540	1824
582	2543	1819
583	2547	1814
584	2551	1810
585	2554	1804
586	2558	1799
587	2561	1794
588	2563	1788
589	2566	1783
590	2570	1778
591	2576	1775
592	2579	1770
593	2582	1765
594	2585	1760
595	2588	1754
596	2592	1749
597	2597	1745
598	2599	1740
599	2603	1735
600	2608	1731
601	2610	1726
602	2614	1721
603	2618	1716
604	2621	1711
605	2624	17066606	2628	1701
607	2631	1696
608	2634	16916609	2638	16866610	2643	1683
611	2648	1679
612	2654	1675
613	2658	1671
614	2661	1666
615	2667	1662
616	2671	1658
617	2674	1653
618	2678	1648
619	2682	1644
620	2688	1640
621	2691	1635
622	2695	1631
623	2699	1626
624	2703	1622
625	2709	1618
626	2713	1614
627	2716	1608
628	2719	1604
629	2724	1599
630	2727	1594
631	2731	1590
632	2736	1586
633	2739	1581
634	2742	1576
635	2746	1571
636	2749	1566
637	2753	1562
638	2757	1557
639	2760	1552
640	2763	1547
641	2767	1542
642	2770	1538
643	2773	1533
644	2779	1529
645	2784	1525
646	2787	1520
647	2792	1517
648	2797	1513
649	2802	1508
650	2806	1504
